X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
326104.62,676863.65,2483575,Lindsay Road,WS: Communal Bin,326105,676864,,7901195,2,1100
327022.24,676567.16,2483576,Commercial Street,WS: Packaging,327022,676567,,7901108,2,1280
327022.07,676567.33,2483577,Commercial Street,WS: Bottle Bank - Mixed,327022,676567,,7901108,1,500
326067.17,676232.41,2483578,Pitt Street,WS: Communal Bin,326067,676232,,7901248,2,1100
326149.27,676251.539999999,2483579,Pitt Street,WS: Communal Bin,326149,676252,,7901248,2,1100
326112.79,675797.84,2483580,Newhaven Road,WS: Communal Bin,326113,675798,,7901226,2,1100
326934.62,675932.380000001,2483581,Great Junction Street,WS: Communal Bin,326935,675932,,7901159,2,1100
326913.33,675960.310000001,2483582,Great Junction Street,WS: Communal Bin,326913,675960,,7901159,2,1100
326754.13,676130.939999999,2483583,Great Junction Street,WS: Communal Bin,326754,676131,,7901159,2,1100
325705.46,676173.470000001,2483584,Connaught Place,WS: Communal Bin,325705,676173,,7901109,2,1100
319635.48,672962.09,2483585,Featherhall Avenue,WS: Communal Bin,319635,672962,,7900433,2,1100
327207.98,671791.57,2483586,Dalkeith Road,WS: Communal Bin,327208,671792,,7901741,2,1100
325420.54,676173.529999999,2483587,Chancelot Crescent,WS: Communal Bin,325421,676174,,7901095,2,1100
325577.0,676210.68,2483588,Bonar Place,WS: Communal Bin,325577,676211,,7901072,2,1100
327009.68,674668.789999999,2483589,Edina Place,WS: Packaging,327010,674669,,7901768,2,1280
327171.67,676255.02,2483590,Queen Charlotte Street,WS: Food Waste Communal,327172,676255,,7901262,1,240
327170.5,676255.550000001,2483591,Queen Charlotte Street,WS: Bottle Bank - Mixed,327170,676256,,7901262,1,660
327171.0,676254.880000001,2483592,Queen Charlotte Street,WS: Packaging,327171,676255,,7901262,1,1280
327131.57,676285.02,2483593,Queen Charlotte Street,WS: Food Waste Communal,327132,676285,,7901262,1,240
327131.49,676285.439999999,2483594,Queen Charlotte Street,WS: Communal Bin,327131,676285,,7901262,2,1280
326674.49,675395.689999999,2483595,Balfour Street,WS: Bottle Bank - Mixed,326674,675396,,7901054,1,660
326650.4,675427.689999999,2483596,Balfour Street,WS: Bottle Bank - Mixed,326650,675428,,7901054,1,660
326650.75,675428.01,2483597,Balfour Street,WS: Packaging,326651,675428,,7901054,2,1100
326608.83,675484.710000001,2483598,Balfour Street,WS: Packaging,326609,675485,,7901054,2,1100
326609.51,675484.529999999,2483599,Balfour Street,WS: Bottle Bank - Mixed,326610,675485,,7901054,1,660
326578.28,675529.02,2483600,Balfour Street,WS: Packaging,326578,675529,,7901054,2,1100
326577.8,675530.699999999,2483601,Balfour Street,WS: Bottle Bank - Mixed,326578,675531,,7901054,1,660
320676,671690,2483602,Saughton Mains Park,WS: Bottle Bank - Mixed,320676,671690,,7903228,1,360
320617,671688,2483603,Saughton Mains Park,WS: Bottle Bank - Mixed,320617,671688,,7903228,1,360
320653,671617,2483604,Saughton Mains Park,WS: Bottle Bank - Mixed,320653,671617,,7903228,1,360
320599,671609,2483605,Saughton Mains Park,WS: Bottle Bank - Mixed,320599,671609,,7903228,1,360
320566,671654,2483606,Saughton Mains Park,WS: Bottle Bank - Mixed,320566,671654,,7903228,1,360
320676,671690,2483607,Saughton Mains Park,WS: Food Waste Communal,320676,671690,,7903228,1,240
